Carimbo de data/hora,2. Você pratica exercícios físicos regularmente?,2. Quantos dias por semana você costuma se exercitar?,"3. Em uma escala de 0 a 5, como você avalia sua alimentação no dia a dia?

0 = Muito ruim
5 = Muito boa   ","4. Em uma escala de 0 a 5, quanto você segue uma dieta ou planejamento alimentar?

 0 = Nunca sigo
 5 = Sigo totalmente  ","5. Em média, quantas horas você dorme por noite?","6. Em uma escala de 0 a 5, como você avalia seu bem-estar físico e mental atualmente?


 0 = Muito ruim
 5 = Muito bom","7. Em uma escala de 0 a 5, quanto você percebe melhora na sua qualidade de vida quando associa exercício físico e alimentação equilibrada?

0 = Nenhuma melhora
5 = Melhora muito alta  ",1. Qual sua idade
,,,,,,,,
25/04/2026 11:09:19,,1 a 2 dias,4,0,5 a 6 horas,3,3,18 - 21
25/04/2026 11:16:34,,1 a 2 dias,3,0,7 a 8 horas,3,4,22 - 25
25/04/2026 11:17:35,,3 a 4 dias,2,0,7 a 8 horas,2,2,18 - 21
25/04/2026 11:19:22,,1 a 2 dias,5,4,7 a 8 horas,4,5,22 - 25
25/04/2026 11:19:22,,1 a 2 dias,4,3,5 a 6 horas,3,4,14 - 17
25/04/2026 11:26:39,,5 ou mais dias,4,3,Menos de 5 horas,3,5,18 - 21
25/04/2026 11:28:27,,0 dias,3,2,7 a 8 horas,3,3,18 - 21
25/04/2026 12:53:36,,3 a 4 dias,3,3,7 a 8 horas,4,5,18 - 21
25/04/2026 12:55:46,,1 a 2 dias,3,3,7 a 8 horas,4,5,18 - 21
25/04/2026 13:01:17,,1 a 2 dias,4,0,7 a 8 horas,2,5,18 - 21
25/04/2026 13:03:48,,0 dias,2,0,7 a 8 horas,2,5,18 - 21
25/04/2026 13:21:34,,3 a 4 dias,3,3,5 a 6 horas,3,5,18 - 21
25/04/2026 13:43:05,,5 ou mais dias,5,4,7 a 8 horas,4,5,14 - 17
25/04/2026 13:53:55,,0 dias,1,0,7 a 8 horas,0,4,22 - 25
25/04/2026 15:48:59,,1 a 2 dias,3,1,7 a 8 horas,3,5,18 - 21
25/04/2026 16:23:16,,3 a 4 dias,4,1,7 a 8 horas,4,5,14 - 17
25/04/2026 16:30:29,,0 dias,4,0,7 a 8 horas,3,4,18 - 21
25/04/2026 20:15:13,,0 dias,4,3,5 a 6 horas,5,0,18 - 21
26/04/2026 13:30:07,,1 a 2 dias,2,2,7 a 8 horas,1,4,22 - 25
01/05/2026 11:08:57,,1 a 2 dias,4,0,7 a 8 horas,4,5,26 ou mais.
01/05/2026 14:26:40,,5 ou mais dias,1,0,7 a 8 horas,4,4,18 - 21
01/05/2026 14:29:36,,1 a 2 dias,3,2,7 a 8 horas,1,5,26 ou mais.
02/05/2026 08:13:47,,0 dias,3,3,7 a 8 horas,3,4,18 - 21
02/05/2026 08:33:43,,1 a 2 dias,0,0,7 a 8 horas,5,5,26 ou mais.
02/05/2026 08:36:25,,5 ou mais dias,5,4,5 a 6 horas,5,5,26 ou mais.
02/05/2026 19:26:09,,3 a 4 dias,2,1,5 a 6 horas,3,4,26 ou mais.
12/05/2026 06:48:57,,3 a 4 dias,3,2,7 a 8 horas,4,5,18 - 21
12/05/2026 09:30:28,,3 a 4 dias,4,4,5 a 6 horas,3,4,18 - 21
12/05/2026 09:47:08,,0 dias,3,0,7 a 8 horas,3,5,18 - 21
12/05/2026 10:23:20,,5 ou mais dias,4,4,5 a 6 horas,4,5,26 ou mais.
12/05/2026 10:45:53,,1 a 2 dias,4,3,7 a 8 horas,4,5,18 - 21
12/05/2026 11:14:42,,3 a 4 dias,3,2,7 a 8 horas,4,5,18 - 21
12/05/2026 12:09:25,,5 ou mais dias,5,5,7 a 8 horas,2,4,18 - 21
12/05/2026 14:12:38,,1 a 2 dias,3,0,5 a 6 horas,4,4,14 - 17
12/05/2026 14:19:58,,1 a 2 dias,2,0,7 a 8 horas,3,4,18 - 21
